,,control,control,control,desired change,desired change,desired change,difficulty changing,difficulty changing,difficulty changin,genes,genes,genes,internal distress,internal distress,internal distress,mental illness,mental illness,mental illness,punishment,punishment,punishment,wrongness,wrongness,wrongness
,,M,SE,SD,M,SE,SD,M,SE,SD,M,SE,SD,M,SE,SD,M,SE,SD,M,SE,SD,M,SE,SD
condition,n,,,,,,,,,,,,,,,,,,,,,,,,
depression,481,3.093555094,0.04379046,1.53078821,5.885654886,0.038660905,1.351473747,5.006237006,0.038666863,1.351682045,4.043659044,0.038558731,1.347902043,6.068607069,0.032895791,1.149941997,4.563409563,0.044091654,1.541317083,3.821205821,0.027095224,0.947170898,2.831600832,0.05420405,1.894817311
drugs,482,3.601659751,0.048199294,1.684908353,4.769709544,0.042615063,1.489699742,5.614107884,0.03371731,1.178659927,3.265560166,0.043299641,1.513630584,5.547717842,0.038942944,1.361333034,3.674273859,0.052626019,1.839653879,4.454356846,0.032569316,1.138529389,4.852697095,0.051493338,1.800058612
fetish,359,3.401114206,0.048054611,1.679850647,3.571030641,0.04355579,1.522584834,5.077994429,0.042111653,1.472101978,2.983286908,0.043659605,1.526213888,3.768802228,0.045200749,1.580087849,3.250696379,0.05331321,1.863676104,4.13091922,0.022871534,0.799522897,3.462395543,0.059007523,2.062732865
gay,483,2.360248447,0.049775504,1.74000809,2.652173913,0.042970315,1.502118295,6.250517598,0.037282062,1.303273385,4.182194617,0.055433997,1.937812683,3.790890269,0.046760437,1.634610056,1.859213251,0.043847606,1.532785887,4.045548654,0.017529829,0.612792279,2.35610766,0.057313014,2.00349771
obese,639,5.021909233,0.037896892,1.324766065,5.41627543,0.039383638,1.37673842,4.766823161,0.041770001,1.460158798,3.948356808,0.035765644,1.250263781,5.602503912,0.035182428,1.229876255,2.165884194,0.043956849,1.536604711,4.018779343,0.018393763,0.642992914,3.809076682,0.052766064,1.844549437
pedophile,482,3.732365145,0.054165197,1.89345909,4.091286307,0.048418781,1.692580975,5.734439834,0.040455844,1.414219662,2.991701245,0.046262218,1.617193743,4.869294606,0.048327023,1.689373391,5.618257261,0.048520151,1.696124564,5.408713693,0.038394762,1.342170181,6.60373444,0.031556298,1.103117184
psychopath,483,2.635610766,0.045991419,1.607727382,3.020703934,0.048435341,1.693159879,6.157349896,0.033978841,1.187802294,4.33126294,0.042721323,1.493414263,2.80952381,0.053762741,1.879390401,5.877846791,0.043757809,1.529646829,4.784679089,0.035435721,1.238730632,5.565217391,0.047064721,1.645246928
racist,486,5.718106996,0.041411573,1.447629173,2.600823045,0.04145594,1.449180124,4.895061728,0.042996102,1.503019743,2.002057613,0.041708294,1.458001699,3.133744856,0.051177878,1.78903106,2.5781893,0.050517908,1.765960389,5.115226337,0.035609977,1.244822121,6.236625514,0.038833882,1.357520531
schizophrenia,481,2.122661123,0.040702769,1.422851446,5.902286902,0.038255204,1.337291638,5.918918919,0.035658739,1.246526706,4.929313929,0.037516969,1.311485063,6.241164241,0.033391885,1.167284016,6.363825364,0.030824796,1.077545979,3.118503119,0.038694719,1.352655815,3.343035343,0.06091343,2.129357869
transgender,512,3.0390625,0.058338568,2.039348132,4.2890625,0.055870716,1.953079134,5.787109375,0.042610948,1.489555892,3.970703125,0.054113873,1.891664974,5.76171875,0.041988827,1.467808308,2.951171875,0.060023858,2.098260997,4.078125,0.019558669,0.683714673,2.89453125,0.060694121,2.121691479